date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,33.84,34.30,33.57,34.23,2357300,34.23
2015-06-29,34.60,34.62,33.91,33.99,2240100,33.99
2015-06-26,35.56,35.73,34.81,34.82,4985100,34.82
2015-06-25,36.07,36.28,35.66,35.68,2003400,35.68
2015-06-24,36.00,36.39,35.95,36.03,2016900,36.03
2015-06-23,36.24,36.27,35.95,35.95,2297000,35.95
2015-06-22,35.64,35.98,35.42,35.83,1741700,35.83
2015-06-19,35.61,35.99,35.52,35.64,2133000,35.64
2015-06-18,35.27,35.46,35.12,35.35,3675700,35.35
2015-06-17,35.48,35.74,34.81,35.66,2684800,35.66
2015-06-16,35.50,35.76,35.38,35.41,2237700,35.41
2015-06-15,36.32,36.41,35.67,35.67,3344500,35.67
2015-06-12,36.84,36.88,36.535,36.73,2035000,36.73
2015-06-11,36.49,36.88,36.40,36.85,2583800,36.85
2015-06-10,36.00,36.53,35.99,36.22,1944800,36.22
2015-06-09,35.32,35.84,35.31,35.60,1950400,35.60
2015-06-08,35.27,35.27,35.27,35.27,000,35.27
2015-06-05,35.23,35.48,35.05,35.27,1516400,35.27
2015-06-04,35.60,35.76,35.13,35.18,2450600,35.18
2015-06-03,35.98,36.14,35.59,35.67,2847200,35.67
2015-06-02,36.79,36.79,36.11,36.11,1900400,36.11
2015-06-01,36.69,36.84,36.27,36.56,1568000,36.56
2015-05-29,36.68,36.94,36.55,36.63,3926900,36.63
2015-05-28,36.65,36.65,36.28,36.42,2094500,36.42
2015-05-27,36.14,36.79,36.13,36.65,3553300,36.65
2015-05-26,36.30,36.68,36.25,36.66,2194400,36.66
2015-05-25,35.77,36.60,35.72,36.30,3180900,36.30
2015-05-22,35.20,35.89,35.18,35.70,2723000,35.70
2015-05-21,34.33,34.875,34.27,34.87,2462400,34.87
2015-05-20,34.22,34.33,33.81,34.33,2894300,34.33
2015-05-19,34.77,34.85,34.06,34.35,2548300,34.35
2015-05-18,35.11,35.12,34.55,34.58,2052100,34.58
2015-05-15,35.40,35.40,34.75,35.00,2041200,35.00
2015-05-14,34.65,35.03,34.55,35.00,1899300,35.00
2015-05-13,34.58,35.24,34.53,34.71,1712700,34.71
2015-05-12,34.78,34.86,34.05,34.51,2381600,34.51
2015-05-11,34.47,34.99,34.32,34.50,3992500,34.50
2015-05-08,35.00,35.02,33.76,33.80,3832400,33.80
2015-05-07,35.11,35.52,35.02,35.06,2300200,35.06
2015-05-06,35.60,35.82,35.305,35.43,2321200,35.43
2015-05-05,35.78,35.98,35.36,35.50,2616900,35.50
2015-05-04,35.40,35.65,35.01,35.43,1732900,35.43
2015-05-01,35.10,35.40,34.82,35.25,1700200,35.25
2015-04-30,35.09,35.31,34.85,35.05,1695900,35.05
2015-04-29,35.57,35.57,35.10,35.19,1780400,35.19
2015-04-28,35.85,36.20,35.51,35.58,2250200,35.58
2015-04-27,35.70,35.93,35.60,35.89,2190800,35.89
2015-04-24,35.20,35.54,35.18,35.40,3877000,35.40
2015-04-23,34.44,34.97,34.42,34.80,1825600,34.80
2015-04-22,34.35,34.68,34.30,34.52,1794600,34.52
2015-04-21,35.25,35.28,34.60,34.69,3071100,34.69
2015-04-20,35.21,35.40,35.08,35.16,1409300,35.16
2015-04-17,35.60,35.83,35.28,35.42,1597400,35.42
2015-04-16,35.90,35.95,35.28,35.48,2696800,35.48
2015-04-15,35.81,35.97,35.25,35.41,3165400,35.41
2015-04-14,35.20,35.29,34.60,35.25,2024000,35.25
2015-04-13,35.05,35.39,34.82,34.97,2127500,34.97
2015-04-10,34.50,34.975,34.31,34.90,2143500,34.90
2015-04-09,34.50,34.60,34.00,34.13,3247100,34.13
2015-04-08,34.50,35.36,34.45,35.07,2782700,35.07
2015-04-07,34.65,34.85,34.27,34.37,2118100,34.37
2015-04-06,34.15,34.15,34.15,34.15,000,34.15
2015-04-03,34.15,34.15,34.15,34.15,000,34.15
2015-04-02,34.11,34.25,33.84,34.15,2120800,34.15
2015-04-01,34.10,34.50,33.81,33.88,2537400,33.88
2015-03-31,34.74,34.80,34.23,34.52,2524200,34.52
2015-03-30,34.50,34.81,33.83,34.00,2846900,34.00
2015-03-27,35.34,35.69,34.94,35.04,5890600,35.04
2015-03-26,35.00,35.50,34.80,35.27,3374500,35.27
2015-03-25,35.30,35.50,35.02,35.10,2291600,35.10
2015-03-24,35.33,35.69,35.29,35.41,2024600,35.41
2015-03-23,35.81,36.365,35.38,35.53,2421300,35.53
2015-03-20,34.95,35.93,34.67,35.70,9117000,35.70
2015-03-19,35.15,35.55,34.94,35.31,3078900,35.31
2015-03-18,34.30,34.86,34.17,34.86,3580300,34.86
2015-03-17,34.14,34.71,34.12,34.59,1874000,34.59
2015-03-16,34.00,34.48,33.56,33.99,3124500,33.99
2015-03-13,34.96,35.17,34.635,34.75,1796800,34.75
2015-03-12,34.23,34.85,34.11,34.79,2014100,34.79
2015-03-11,34.40,34.77,34.26,34.41,1833700,34.41
2015-03-10,34.99,35.18,34.35,34.89,2499600,34.89
2015-03-09,34.96,34.98,34.53,34.84,2324000,34.84
2015-03-06,35.11,35.27,34.80,35.16,2062500,35.16
2015-03-05,35.33,35.40,35.08,35.23,3091900,35.23
2015-03-04,35.10,35.43,35.01,35.10,1511500,35.10
2015-03-03,35.00,35.20,34.78,35.10,2029300,35.10
2015-03-02,35.40,35.50,35.07,35.30,2806400,35.30
2015-02-27,34.70,35.28,34.53,35.18,4509000,35.18
2015-02-26,34.90,35.11,34.76,34.90,2954000,34.90
2015-02-25,34.70,35.01,34.55,34.91,4667600,34.91
2015-02-24,36.42,36.69,36.20,36.45,4039100,33.81635
2015-02-23,35.92,36.18,35.52,36.16,2436300,33.5473
2015-02-20,35.90,35.91,35.34,35.72,5581600,33.1391
2015-02-19,36.70,36.70,35.69,36.13,5247600,33.51947
2015-02-18,36.18,36.46,35.66,36.45,5820400,33.81635
2015-02-17,35.08,35.10,34.75,34.91,3126600,32.38762
2015-02-16,35.39,35.49,34.71,35.17,2621100,32.62883
2015-02-13,34.38,35.25,34.12,35.19,4973800,32.64739
2015-02-12,33.79,34.00,33.25,33.84,6195000,31.39493
2015-02-11,35.00,35.10,34.00,34.16,3708500,31.69181
2015-02-10,35.29,35.65,34.96,35.20,2805700,32.65667
2015-02-09,35.50,35.90,35.39,35.67,1405600,33.09271
2015-02-06,35.74,35.92,35.47,35.49,2125900,32.92572
2015-02-05,35.10,35.34,34.71,35.26,3431400,32.71233
2015-02-04,36.55,36.77,35.57,35.87,3556900,33.27826
2015-02-03,34.80,35.82,34.80,35.69,3774700,33.11126
2015-02-02,34.70,34.98,34.37,34.65,3024800,32.14641
2015-01-30,33.95,34.42,33.81,34.28,5373400,31.80314
2015-01-29,33.50,33.98,33.40,33.74,3543200,31.30216
2015-01-28,34.44,34.44,34.10,34.35,2738500,31.86808
2015-01-27,34.46,34.67,33.98,34.25,2447800,31.77531
2015-01-26,34.40,34.40,34.40,34.40,000,31.91447
2015-01-23,34.15,34.63,33.92,34.40,2846200,31.91447
2015-01-22,33.00,34.20,32.96,33.62,4133600,31.19083
2015-01-21,32.18,32.75,31.97,32.60,3378300,30.24453
2015-01-20,33.91,33.95,32.25,32.25,5477500,29.91982
2015-01-19,34.04,34.80,34.01,34.17,4478700,31.70109
2015-01-16,34.34,34.68,33.90,34.16,2888500,31.69181
2015-01-15,35.46,35.78,34.86,35.06,2921000,32.52678
2015-01-14,34.95,36.09,34.93,35.54,4131700,32.9721
2015-01-13,35.78,35.94,35.53,35.72,2469400,33.1391
2015-01-12,36.90,37.01,36.13,36.35,1963600,33.72357
2015-01-09,36.58,37.11,36.37,37.05,2624800,34.373
2015-01-08,36.10,36.21,35.84,35.96,1818700,33.36175
2015-01-07,35.74,36.28,35.34,36.14,2511200,33.52875
2015-01-06,37.15,37.15,36.21,36.46,3328400,33.82563
2015-01-05,38.04,38.58,37.92,38.33,1512800,35.56051
2015-01-02,37.85,38.36,37.65,38.13,643500,35.37496
2015-01-01,38.01,38.01,38.01,38.01,000,35.26363
2014-12-31,38.03,38.43,37.85,38.01,617800,35.26363
2014-12-30,38.45,38.52,37.91,38.03,1616800,35.28219
2014-12-29,38.24,38.58,37.86,38.58,1338600,35.79245
2014-12-26,38.15,38.15,38.15,38.15,000,35.39352
2014-12-25,38.15,38.15,38.15,38.15,000,35.39352
2014-12-24,38.05,38.20,37.67,38.15,1271500,35.39352
2014-12-23,38.40,38.44,36.61,37.97,2611800,35.22653
2014-12-22,38.15,38.89,38.07,38.70,3118700,35.90378
2014-12-19,37.45,37.80,36.94,37.77,7940100,35.04098
2014-12-18,36.18,36.96,36.18,36.60,4321900,33.95551
2014-12-17,34.80,35.89,34.75,35.50,4635900,32.93499
2014-12-16,34.27,34.77,34.26,34.46,3033400,31.97013
2014-12-15,34.21,35.40,33.84,35.39,3115300,32.83294
2014-12-12,34.22,34.76,33.975,34.60,2767900,32.10002
2014-12-11,34.45,34.66,33.87,34.19,3134200,31.71964
2014-12-10,34.32,35.01,33.72,34.90,3364300,32.37835
2014-12-09,34.50,34.72,34.31,34.38,3579800,31.89592
2014-12-08,35.68,35.86,35.12,35.39,2091700,32.83294
2014-12-05,36.00,36.40,35.62,35.71,2621900,33.12982
2014-12-04,35.80,36.54,35.02,36.45,3691700,33.81635
2014-12-03,34.90,36.35,34.89,35.64,6728400,33.06488
2014-12-02,34.96,35.36,34.57,34.86,5141600,32.34123
2014-12-01,35.01,35.13,33.72,34.20,4839300,31.72892
2014-11-28,37.20,37.28,35.75,35.75,7553500,33.16693
2014-11-27,39.43,39.51,38.29,38.47,2536300,35.6904
2014-11-26,39.48,39.71,39.17,39.56,1595000,36.70164
2014-11-25,39.50,39.78,39.11,39.36,2435500,36.51609
2014-11-24,39.35,39.59,39.16,39.46,1578700,36.60887
2014-11-21,38.68,38.95,38.55,38.85,1714400,36.04294
2014-11-20,38.10,38.65,37.85,38.45,2436600,35.67184
2014-11-19,38.92,38.92,38.32,38.41,2037300,35.63473
2014-11-18,39.10,39.34,38.71,38.84,1392000,36.03366
2014-11-17,39.50,39.85,39.02,39.10,1770200,36.27488
2014-11-14,40.00,40.01,39.315,39.44,2788800,36.59031
2014-11-13,40.24,40.43,40.01,40.11,1657500,37.2119
2014-11-12,40.37,40.47,40.21,40.24,1790300,37.33251
2014-11-11,41.00,41.00,40.22,40.25,2753500,37.34179
2014-11-10,40.82,41.10,40.75,40.91,1888300,37.9541
2014-11-07,40.36,40.69,40.30,40.69,2742500,37.74999
2014-11-06,40.34,40.63,39.98,40.08,2319300,37.18407
2014-11-05,40.45,40.49,39.92,40.04,2804400,37.14696
2014-11-04,40.70,40.70,40.22,40.42,1559900,37.4995
2014-11-03,40.25,40.44,40.18,40.44,1688800,37.51806
2014-10-31,40.15,40.15,39.76,40.13,4566000,37.23046
2014-10-30,39.95,40.00,39.69,39.72,1679700,36.85008
2014-10-29,39.90,39.98,39.74,39.74,2263100,36.86864
2014-10-28,39.94,39.99,39.52,39.54,2045100,36.68309
2014-10-27,40.30,40.30,40.01,40.15,1476700,37.24901
2014-10-24,40.25,40.30,39.97,40.05,1429000,37.15624
2014-10-23,39.88,39.97,39.665,39.97,1489700,37.08202
2014-10-22,39.94,40.03,39.62,39.89,2342500,37.0078
2014-10-21,40.20,40.23,39.51,39.68,1832700,36.81297
2014-10-20,40.00,40.19,39.72,39.97,2011200,37.08202
2014-10-17,39.90,40.14,39.45,39.58,2618400,36.7202
2014-10-16,38.83,39.71,38.70,39.66,4030700,36.79442
2014-10-15,39.00,39.13,38.76,39.00,3715100,36.1821
2014-10-14,38.48,39.13,38.42,39.07,2465100,36.24705
2014-10-13,38.45,38.77,38.22,38.72,2001100,35.92234
2014-10-10,39.02,39.18,38.58,38.70,3099700,35.90378
2014-10-09,40.00,40.06,39.71,39.76,2087900,36.88719
2014-10-08,40.20,40.26,39.80,39.88,3024700,36.99852
2014-10-07,41.02,41.02,40.21,40.55,2116400,37.62011
2014-10-06,40.80,40.81,40.43,40.72,897400,37.77783
2014-10-03,40.38,40.70,40.35,40.68,1771200,37.74072
2014-10-02,40.40,40.74,40.20,40.48,1672000,37.55517
2014-10-01,40.55,40.78,40.26,40.78,2296100,37.83349
2014-09-30,40.41,40.62,40.32,40.60,1863700,37.6665
2014-09-29,40.50,40.87,40.43,40.53,1161800,37.60155
2014-09-26,40.55,40.91,40.53,40.65,4285300,37.71289
2014-09-25,41.61,41.65,41.00,41.01,2650200,38.04687
2014-09-24,41.30,41.50,41.24,41.50,1580300,38.50147
2014-09-23,41.23,41.69,41.23,41.59,1596800,38.58497
2014-09-22,41.75,41.79,41.475,41.51,2976300,38.51074
2014-09-19,41.94,41.975,41.62,41.74,1836300,38.72413
2014-09-18,41.55,41.97,41.50,41.64,2509500,38.63135
2014-09-17,41.87,42.085,41.45,41.50,2824500,38.50147
2014-09-16,42.00,42.16,41.87,41.94,2528100,38.90968
2014-09-15,42.02,42.25,41.94,42.14,4249300,39.09523
2014-09-12,42.53,42.59,42.31,42.34,3408000,39.28078
