date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.09,3.29,3.00,3.23,3429900,3.23
2015-06-29,3.35,3.36,3.22,3.25,1896100,3.25
2015-06-26,3.40,3.48,3.36,3.41,2797100,3.41
2015-06-25,3.58,3.58,3.35,3.39,3405800,3.39
2015-06-24,3.62,3.65,3.59,3.63,1388200,3.63
2015-06-23,3.70,3.70,3.57,3.58,1526200,3.58
2015-06-22,3.75,3.77,3.61,3.70,2718700,3.70
2015-06-19,3.66,3.78,3.65,3.76,2656600,3.76
2015-06-18,3.65,3.655,3.54,3.59,1613700,3.59
2015-06-17,3.64,3.655,3.56,3.64,1413100,3.64
2015-06-16,3.70,3.71,3.61,3.63,1913000,3.63
2015-06-15,3.69,3.74,3.66,3.73,1184100,3.73
2015-06-12,3.71,3.75,3.66,3.71,985100,3.71
2015-06-11,3.76,3.77,3.69,3.73,1693900,3.73
2015-06-10,3.63,3.77,3.615,3.71,5542900,3.71
2015-06-09,3.63,3.68,3.53,3.56,2175900,3.56
2015-06-08,3.62,3.62,3.62,3.62,000,3.62
2015-06-05,3.58,3.63,3.52,3.62,1956500,3.62
2015-06-04,3.68,3.70,3.50,3.58,2553100,3.58
2015-06-03,3.60,3.70,3.60,3.67,1786900,3.67
2015-06-02,3.65,3.67,3.55,3.58,3162600,3.58
2015-06-01,3.58,3.59,3.48,3.56,1253300,3.56
2015-05-29,3.62,3.67,3.55,3.57,1544600,3.57
2015-05-28,3.55,3.58,3.50,3.54,1148600,3.54
2015-05-27,3.47,3.54,3.47,3.53,1072200,3.53
2015-05-26,3.61,3.61,3.48,3.50,1879100,3.50
2015-05-25,3.52,3.59,3.51,3.56,1355400,3.56
2015-05-22,3.56,3.615,3.49,3.52,2533400,3.52
2015-05-21,3.46,3.54,3.44,3.50,2990100,3.50
2015-05-20,3.52,3.53,3.30,3.38,4205100,3.38
2015-05-19,3.60,3.66,3.56,3.61,3661400,3.61
2015-05-18,3.77,3.77,3.65,3.67,1691100,3.67
